,smp,ref,cos,ref_lp,lp,ref_lev,lv,ecul,refe
110,weakly-reactive,weak-reac,"[0.73, 0.53, 0.87]",weak-reac,"[3.61, 4.12, 2.45]",weak-reac,"[11, 10, 6]",cosine,weak-reac
111,w-reactive,weak-reac,"[0.72, 0.55, 0.8]",weak-reac,"[2.45, 3.16, 2.24]",reac,"[6, 7, 7]",cosine,weak-reac
112,non-rea(c),non-reac,"[0.58, 0.91, 0.56]",non-reac,"[2.83, 1.41, 3.32]",non-reac,"[6, 2, 6]",cosine,non-reac
113,negative,weak-reac,"[0.47, 0.5, 0.53]",reac,"[2.83, 3.16, 3.32]",reac,"[6, 7, 7]",cosine,weak-reac
114,non-reactive(1.0),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
115,non-reactive(0.7),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
116,non-reactive(0.8),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
117,non-reactive(1.1),non-reac,"[0.52, 0.73, 0.52]",non-reac,"[4.12, 3.32, 4.24]",non-reac,"[13, 9, 13]",cosine,non-reac
118,non-reactive(0.9),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
119,non-reactive(1.4),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
120,non-reactive(1.2),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
121,non-reactive(1.3),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
122,non-reactive(1.5),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
123,non-reactive(1.6),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
124,non-reactive(1.7),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
125,non-reactive(1.9),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
126,non-reactive(1.8),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
127,non-reactive(2.2),non-reac,"[0.52, 0.73, 0.52]",non-reac,"[4.12, 3.32, 4.24]",non-reac,"[13, 9, 13]",cosine,non-reac
128,non-reactive(2.0),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
129,non-reactive(0.0),non-reac,"[0.52, 0.73, 0.52]",non-reac,"[4.12, 3.32, 4.24]",non-reac,"[13, 9, 13]",cosine,non-reac
130,non-reactive(2.1),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
131,non-reactive(2.4),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
132,non-reactive(2.3),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
133,non-reactive(2.5),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
134,non-reactive(2.6),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
135,non-reactive(2.7),non-reac,"[0.55, 0.76, 0.54]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",cosine,non-reac
