,Data,jw_word,jw_score,euc_word,euc_score,lev_word,lev_score,Measure,Final
112,po 3.2,posi,"[0.9786232635577494, 0.9752187496037075, 0.9785791825908323]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
113,po 3.3,posi,"[0.9892057819875959, 0.9875216832623481, 0.9572427532665188]",posi,"[2.83, 3.46, 3.46]",posi,"[4, 6, 8]",jw,posi
114,po 3.4,posi,"[0.9786232635577494, 0.9752187496037075, 0.9785798183737099]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
115,po 3.7,posi,"[0.9786232635577494, 0.9752187496037075, 0.9785796912171343]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
116,po 3.6,posi,"[0.9786232635571015, 0.9752187495807869, 0.9785798607592338]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
117,po 3.5,posi,"[0.9786232635577494, 0.9752187496037075, 0.9785785044224296]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
118,po 3.9,posi,"[0.9786232635577494, 0.9752187496037075, 0.9785798501628538]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
119,po 4.0,posi,"[0.9786232609086567, 0.9752187466234782, 0.978579815724617]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
120,po 3.8,posi,"[0.9786232638875929, 0.9752187495804244, 0.9785798607579416]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
121,po 4.2,posi,"[0.9786232211722268, 0.9752187019199945, 0.9785791402053097]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
122,po 4.6,posi,"[0.9786232635577506, 0.975218749603709, 0.9785798183737111]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
123,po 4.7,posi,"[0.9786232211722268, 0.9752187019199945, 0.9785796488316116]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
124,po 4.1,posi,"[0.9786232635551649, 0.9752187496008, 0.9785798183711254]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
125,po 4.3,posi,"[0.9786232635577494, 0.9752187496037075, 0.9785798183737099]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
126,po 4.4,posi,"[0.9892057819885461, 0.9875216832852673, 0.9572427532719178]",posi,"[2.83, 3.46, 3.46]",posi,"[4, 6, 8]",jw,posi
127,po 4.5,posi,"[0.9786232211722268, 0.9752187019199945, 0.9785784620369069]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
128,po 5.0,posi,"[0.9786232609086567, 0.9752187466234782, 0.9785785017733367]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
129,po 5.3,posi,"[0.9786232635577494, 0.9752187496037075, 0.9785785044224296]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
130,po 5.2,posi,"[0.9786225853893492, 0.9752179866642573, 0.9785778262540293]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
131,po 5.1,posi,"[0.9786232635551649, 0.9752187496008, 0.9785785044198451]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
132,po 4.8,posi,"[0.9786232635564585, 0.9752187496022553, 0.9785798183724189]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
133,po 4.9,posi,"[0.9786232529613706, 0.9752187376827814, 0.9785798077773311]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
134,po 5.4,posi,"[0.9786232211722268, 0.9752187019199945, 0.9785784620369069]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
135,po 5.5,posi,"[0.9892057819885461, 0.9875216832852673, 0.9572427532719178]",posi,"[2.83, 3.46, 3.46]",posi,"[4, 6, 8]",jw,posi
136,po 5.9,posi,"[0.9786232529613706, 0.9752187376827814, 0.9785784938260508]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
137,po 6.0,posi,"[0.9786232635577506, 0.975218749603709, 0.978579858110141]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
138,po 5.7,posi,"[0.9786230940156513, 0.9752185588688471, 0.9785783348803314]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
139,po 6.1,posi,"[0.9786232638863006, 0.975218749580426, 0.9785798607566494]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
140,po 5.8,posi,"[0.9786232635564585, 0.9752187496022553, 0.9785785044211386]",posi,"[2.45, 3.16, 3.16]",posi,"[4, 6, 8]",jw,posi
