,Data,jw_word,jw_score,euc_word,euc_score,lev_word,lev_score,Measure,Final
109,reactive,reac,"[0.9576072868663594, 0.9745015369683143, 0.9762678967587196]",reac,"[2.0, 3.16, 2.65]",reac,"[4, 8, 7]",jw,weak-reac
110,weakly-reactive,weak-reac,"[0.8616406689317441, 0.891571673601781, 0.9090210269047048]",weak-reac,"[3.61, 4.12, 2.45]",weak-reac,"[11, 10, 6]",jw,weak-reac
111,w-reactive,weak-reac,"[0.9088502894763468, 0.9293453539065378, 0.9576072672819761]",weak-reac,"[2.45, 3.16, 2.24]",reac,"[6, 7, 7]",jw,weak-reac
112,non-rea(c),non-reac,"[0.8860623433793502, 0.9707452723194946, 0.9295251296753402]",non-reac,"[2.83, 1.41, 3.32]",non-reac,"[6, 2, 6]",jw,non-reac
113,negative,weak-reac,"[0.9576072540838048, 0.9745015031923491, 0.9762678686783091]",reac,"[2.83, 3.16, 3.32]",reac,"[6, 7, 7]",jw,weak-reac
114,non-reactive(1.0),non-reac,"[0.7551054859115812, 0.8924262179315174, 0.8207097248110681]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
115,non-reactive(0.7),non-reac,"[0.7551063442184659, 0.89242636720228, 0.8207103882366796]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
116,non-reactive(0.8),non-reac,"[0.7551054859115812, 0.8924262262243375, 0.8207097248110681]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
117,non-reactive(1.1),non-reac,"[0.7770087536535509, 0.9055105934940999, 0.8425098649673849]",non-reac,"[4.12, 3.32, 4.24]",non-reac,"[13, 9, 13]",jw,non-reac
118,non-reactive(0.9),non-reac,"[0.7551053269658619, 0.89242636720228, 0.8207103882366796]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
119,non-reactive(1.4),non-reac,"[0.7551065031641854, 0.8924262179315174, 0.8207057442573996]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
120,non-reactive(1.2),non-reac,"[0.7551065031641854, 0.8924262179315174, 0.8207022059874722]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
121,non-reactive(1.3),non-reac,"[0.7551050943835708, 0.8924259027395643, 0.820700865206903]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
122,non-reactive(1.5),non-reac,"[0.7551065031641854, 0.8924262179315174, 0.8207022059874722]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
123,non-reactive(1.6),non-reac,"[0.7551050942593944, 0.8924259026747766, 0.8207008650989236]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
124,non-reactive(1.7),non-reac,"[0.7551065031641854, 0.8924262179315174, 0.8207022059874722]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
125,non-reactive(1.9),non-reac,"[0.7551054859115812, 0.8924262179315174, 0.8207101670948092]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
126,non-reactive(1.8),non-reac,"[0.7551051044418546, 0.8924258945115319, 0.8207008791362492]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
127,non-reactive(2.2),non-reac,"[0.7770090866826772, 0.9055107524398194, 0.8423748670697068]",non-reac,"[4.12, 3.32, 4.24]",non-reac,"[13, 9, 13]",jw,non-reac
128,non-reactive(2.0),non-reac,"[0.7551063442184659, 0.89242636720228, 0.8207103882366796]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
129,non-reactive(0.0),non-reac,"[0.7770086022766751, 0.9055107524398194, 0.8424019938058179]",non-reac,"[4.12, 3.32, 4.24]",non-reac,"[13, 9, 13]",jw,non-reac
130,non-reactive(2.1),non-reac,"[0.7551065031641854, 0.8924262179315174, 0.8207022059874722]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
131,non-reactive(2.4),non-reac,"[0.7551068528447681, 0.89242636720228, 0.8207064076830112]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
132,non-reactive(2.3),non-reac,"[0.7551064931059015, 0.89242623445237, 0.8207021920581258]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
133,non-reactive(2.5),non-reac,"[0.7551068528447681, 0.89242636720228, 0.8207028694130836]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
134,non-reactive(2.6),non-reac,"[0.7551064929817253, 0.8924262343875824, 0.8207021919501464]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
135,non-reactive(2.7),non-reac,"[0.7551068528447681, 0.89242636720228, 0.8207028694130836]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
136,non-reactive(2.8),non-reac,"[0.7551065031641854, 0.8924262262243375, 0.8207022059874722]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
137,non-reactive(3.4),non-reac,"[0.7551064931059015, 0.89242623445237, 0.8207057303280534]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
138,non-reactive(3.0),non-reac,"[0.7551054758532975, 0.89242623445237, 0.8207097108817218]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
139,non-reactive(3.1),non-reac,"[0.7551050943835708, 0.8924259027395643, 0.820700865206903]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
140,non-reactive(3.2),non-reac,"[0.7551064931059015, 0.89242623445237, 0.8207021920581258]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
141,non-reactive(2.9),non-reac,"[0.7551068528447681, 0.89242636720228, 0.8207090613854567]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
142,non-reactive(3.3),non-reac,"[0.7770087423002852, 0.9055105785308506, 0.8425098425121628]",non-reac,"[4.12, 3.32, 4.24]",non-reac,"[13, 9, 13]",jw,non-reac
143,non-reactive(3.5),non-reac,"[0.7551064931059015, 0.89242623445237, 0.8207021920581258]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
144,non-reactive(3.6),non-reac,"[0.7551050787373516, 0.8924258943171688, 0.8207008494419062]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
145,non-reactive(3.8),non-reac,"[0.7551050784889989, 0.8924259027395643, 0.8207008513855362]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
146,non-reactive(3.9),non-reac,"[0.7551054758532975, 0.89242623445237, 0.8207101531654627]",non-reac,"[3.87, 3.0, 4.0]",non-reac,"[13, 9, 13]",jw,non-reac
